"timeMillisSpent","score"
11,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
22,"-1hard/-1medium/-2147483647soft"
23,"-1hard/-1medium/-2147483647soft"
24,"-1hard/-1medium/-2147483647soft"
24,"-1hard/-1medium/-2147483647soft"
25,"-1hard/-1medium/-2147483647soft"
27,"-1hard/-1medium/-2147483647soft"
28,"-1hard/-1medium/-2147483647soft"
29,"-1hard/-1medium/-2147483647soft"
31,"-1hard/-1medium/-2147483647soft"
32,"-1hard/-1medium/-2147483647soft"
32,"-1hard/-1medium/-2147483647soft"
33,"-1hard/-1medium/-2147483647soft"
33,"-1hard/-1medium/-2147483647soft"
34,"-1hard/-1medium/-2147483647soft"
34,"-1hard/-1medium/-2147483647soft"
35,"-1hard/-1medium/-2147483647soft"
35,"-1hard/-1medium/-2147483647soft"
36,"-1hard/-1medium/-2147483647soft"
36,"-1hard/-1medium/-2147483647soft"
38,"-1hard/-1medium/-2147483647soft"
38,"-1hard/-1medium/-2147483647soft"
38,"-1hard/-1medium/-2147483647soft"
39,"-1hard/-1medium/-2147483647soft"
39,"-1hard/-1medium/-2147483647soft"
40,"-1hard/-1medium/-2147483647soft"
40,"-1hard/-1medium/-2147483647soft"
41,"-1hard/-1medium/-2147483647soft"
42,"-1hard/-1medium/-2147483647soft"
43,"-1hard/-1medium/-2147483647soft"
43,"-1hard/-1medium/-2147483647soft"
44,"-1hard/-1medium/-2147483647soft"
45,"-1hard/-1medium/-2147483647soft"
45,"-1hard/-1medium/-2147483647soft"
46,"-1hard/-1medium/-2147483647soft"
48,"-1hard/-1medium/-2147483647soft"
49,"-1hard/-1medium/-2147483647soft"
49,"-1hard/-1medium/-2147483647soft"
51,"-1hard/-1medium/-2147483647soft"
52,"-1hard/-1medium/-2147483647soft"
52,"-1hard/-1medium/-2147483647soft"
53,"-1hard/-1medium/-2147483647soft"
54,"-1hard/-1medium/-2147483647soft"
55,"-1hard/-1medium/-2147483647soft"
56,"-1hard/-1medium/-2147483647soft"
56,"-1hard/-1medium/-2147483647soft"
57,"-1hard/-1medium/-2147483647soft"
58,"-1hard/-1medium/-2147483647soft"
59,"-1hard/-1medium/-2147483647soft"
59,"-1hard/-1medium/-2147483647soft"
60,"-1hard/-1medium/-2147483647soft"
61,"-1hard/-1medium/-2147483647soft"
61,"-1hard/-1medium/-2147483647soft"
62,"-1hard/-1medium/-2147483647soft"
63,"-1hard/-1medium/-2147483647soft"
64,"-1hard/-1medium/-2147483647soft"
64,"-1hard/-1medium/-2147483647soft"
66,"-1hard/-1medium/-2147483647soft"
